projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Magic Number Test;testRemove;80;80
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Magic Number Test;testRemove;85;85
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Magic Number Test;testRemove;90;90
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Duplicate Assert;testHasNext_Next;58, 60, 62;58, 60, 62
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Duplicate Assert;testRemove;77, 82, 87;77, 82, 87
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;58-58;58-58
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;59-59;59-59
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;60-60;60-60
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;61-61;61-61
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;62-62;62-62
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;63-63;63-63
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testHasNext_Next;64-64;64-64
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;77-77;77-77
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;78-78;78-78
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;80-80;80-80
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;82-82;82-82
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;83-83;83-83
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;85-85;85-85
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;87-87;87-87
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;88-88;88-88
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;90-90;90-90
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testRemove;92-92;92-92
treelayout;IterableUtilTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\internal\util\java\lang\IterableUtilTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\internal\util\java\lang\IterableUtil.java;JUnit4;104;3;Assertion Roulette;testEmptyIterator;101-101;101-101
treelayout;TreeLayoutTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\TreeLayoutTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\TreeLayout.java;JUnit4;663;47;Unknown Test;testCheckTree_success;605-610;605-610
treelayout;TreeLayoutTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\TreeLayoutTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\TreeLayout.java;JUnit4;663;47;Magic Number Test;testGetSizeOfLevel;554;554
treelayout;TreeLayoutTest;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\test\java\org\abego\treelayout\TreeLayoutTest.java;C:\Users\cebec\.jnose_projects\treelayout\org.abego.treelayout\src\main\java\org\abego\treelayout\TreeLayout.java;JUnit4;663;47;Magic Number Test;testGetSizeOfLevel;555;555
