projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Unknown Test;testStartPresenting;55-77;55-77
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;114, 130;114, 130
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;115, 131;115, 131
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;116, 132;116, 132
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;117, 133;117, 133
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;118, 134;118, 134
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;119, 135;119, 135
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnSaveInvalid;120, 136;120, 136
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnCancel;174, 190;174, 190
vaadinator;ContractApplicationAddPresenterImplExTest;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\test\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplExTest.java;C:\Users\cebec\.jnose_projects\vaadinator\VaadinatorExample\ContractApplicationExample\src\main\java\de\akquinet\engineering\vaadinator\example\contractapplication\ui\std\presenter\ContractApplicationAddPresenterImplEx.java;JUnit3;229;12;Duplicate Assert;testOnCancel;175, 191;175, 191
