projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;IgnoredTest;testMethod;91-98;91-98
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;IgnoredTest;testMethodExc;100-103;100-103
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Magic Number Test;testCall;50;50
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Magic Number Test;testCall;51;51
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Lazy Test;testCallException, testCallInvalidArgs, testCall;81, 68, 47;81, 68, 47
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Lazy Test;testCallException, testCallInvalidArgs, testCall;80, 67, 46;80, 67, 46
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Lazy Test;testCallException, testCallInvalidArgs, testCall;81, 68, 47;81, 68, 47
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Lazy Test;testCallException, testCallInvalidArgs, testCall;80, 67, 46;80, 67, 46
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Eager Test;testCall;46, 47;46, 47
vaangular;MethodInvokerTest;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\test\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvokerTest.java;C:\Users\cebec\.jnose_projects\vaangular\vaangular\src\main\java\de\akquinet\engineering\vaadin\vaangular\angular\MethodInvoker.java;JUnit4;122;4;Eager Test;testCallInvalidArgs;67, 68;67, 68
