projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Magic Number Test;currentFormattedTime;19;19
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Magic Number Test;currentFormattedTime;20;20
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Magic Number Test;currentFormattedTime;21;21
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Assertion Roulette;currentFormattedTime;19-19;19-19
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Assertion Roulette;currentFormattedTime;20-20;20-20
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Assertion Roulette;currentFormattedTime;21-21;21-21
wad;WADFlowTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\boundary\WADFlowTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\boundary\WADFlow.java;JUnit4;25;1;Print Statement;currentFormattedTime;22;22
wad;ConfiguratorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Configurator.java;JUnit4;39;2;Lazy Test;readNonExistingConfiguration, readExistingConfiguration;35, 22;35, 22
wad;ConfiguratorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Configurator.java;JUnit4;39;2;Assertion Roulette;readExistingConfiguration;27-27;27-27
wad;ConfiguratorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Configurator.java;JUnit4;39;2;Assertion Roulette;readExistingConfiguration;28-28;28-28
wad;ConfiguratorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Configurator.java;JUnit4;39;2;Assertion Roulette;readExistingConfiguration;29-29;29-29
wad;ConfiguratorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Configurator.java;JUnit4;39;2;Assertion Roulette;readNonExistingConfiguration;36-36;36-36
wad;CopierTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\CopierTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Copier.java;JUnit4;20;1;Assertion Roulette;testFindWarInPath;17-17;17-17
wad;CopierTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\CopierTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Copier.java;JUnit4;20;1;Assertion Roulette;testFindWarInPath;18-18;18-18
wad;FolderWatchServiceTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\FolderWatchServiceTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\FolderWatchService.java;JUnit4;84;11;Lazy Test;deletingFileChangesStamp, changingFileChangesStamp, addingChangesStamp, stampsAreEqualWithoutModification;81, 79, 74, 72, 66, 64, 58, 57;81, 79, 74, 72, 66, 64, 58, 57
wad;FolderWatchServiceTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\FolderWatchServiceTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\FolderWatchService.java;JUnit4;84;11;Assertion Roulette;stampsAreEqualWithoutModification;59-59;59-59
wad;FolderWatchServiceTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\FolderWatchServiceTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\FolderWatchService.java;JUnit4;84;11;Assertion Roulette;addingChangesStamp;67-67;67-67
wad;FolderWatchServiceTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\FolderWatchServiceTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\FolderWatchService.java;JUnit4;84;11;Assertion Roulette;changingFileChangesStamp;75-75;75-75
wad;FolderWatchServiceTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\FolderWatchServiceTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\FolderWatchService.java;JUnit4;84;11;Assertion Roulette;deletingFileChangesStamp;82-82;82-82
wad;PreBuildChecksTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\PreBuildChecksTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\PreBuildChecks.java;JUnit4;28;1;Assertion Roulette;validateDeploymentDirectory;22-22;22-22
wad;PreBuildChecksTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\PreBuildChecksTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\PreBuildChecks.java;JUnit4;28;1;Assertion Roulette;validateDeploymentDirectory;25-25;25-25
wad;SubstitutorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\SubstitutorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Substitutor.java;JUnit4;50;3;Lazy Test;substituteNotExistingVariable, substituteExistingVariable;45, 36;45, 36
wad;SubstitutorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\SubstitutorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Substitutor.java;JUnit4;50;3;Assertion Roulette;extractExistingKey;23-23;23-23
wad;SubstitutorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\SubstitutorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Substitutor.java;JUnit4;50;3;Assertion Roulette;extractExistingKey;24-24;24-24
wad;SubstitutorTest;C:\Users\cebec\.jnose_projects\wad\src\test\java\com\airhacks\wad\control\SubstitutorTest.java;C:\Users\cebec\.jnose_projects\wad\src\main\java\com\airhacks\wad\control\Substitutor.java;JUnit4;50;3;Assertion Roulette;substituteExistingVariable;37-37;37-37
