projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
wechat-core;ClassPathUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\ClassPathUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\ClassPathUtils.java;JUnit4;39;3;Unknown Test;testGetClassByAnnotation;33-38;33-38
wechat-core;ClassPathUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\ClassPathUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\ClassPathUtils.java;JUnit4;39;3;Assertion Roulette;testLoadClass;21-21;21-21
wechat-core;ClassPathUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\ClassPathUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\ClassPathUtils.java;JUnit4;39;3;Assertion Roulette;testGetClassesInPath;30-30;30-30
wechat-core;ClassPathUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\ClassPathUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\ClassPathUtils.java;JUnit4;39;3;Print Statement;testGetClassesInPath;29;29
wechat-core;ClassPathUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\ClassPathUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\ClassPathUtils.java;JUnit4;39;3;Print Statement;testGetClassByAnnotation;37;37
wechat-core;MessageUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\MessageUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\MessageUtils.java;JUnit4;83;1;Unknown Test;xml2Object;15-82;15-82
wechat-core;MessageUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\MessageUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\MessageUtils.java;JUnit4;83;1;Verbose Test;xml2Object;15-82;15-82
wechat-core;MessageUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\MessageUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\MessageUtils.java;JUnit4;83;1;Print Statement;xml2Object;51;51
wechat-core;MessageUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\MessageUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\MessageUtils.java;JUnit4;83;1;Print Statement;xml2Object;65;65
wechat-core;MessageUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\MessageUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\MessageUtils.java;JUnit4;83;1;Print Statement;xml2Object;78;78
wechat-core;MessageUtilsTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\MessageUtilsTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\utils\MessageUtils.java;JUnit4;83;1;Print Statement;xml2Object;81;81
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Unknown Test;testGetAccessToken;26-36;26-36
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Unknown Test;testGetAccessTokenInMutilThreadEnvironment;41-49;41-49
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Unknown Test;testRefreshAccessToken;52-56;52-56
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Conditional Test Logic;testGetAccessToken;29-35;29-35
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Conditional Test Logic;testGetAccessTokenInMutilThreadEnvironment;44-47;44-47
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Print Statement;testGetAccessToken;31;31
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Print Statement;testGetAccessToken;33;33
wechat-core;AccessTokenServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\accesstoken\AccessTokenService.java;JUnit4;58;4;Print Statement;testRefreshAccessToken;55;55
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testBatchGetUser;44;44
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testCreateTag;53;53
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testGetTags;61;61
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testEditTag;70;70
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testDeleteTag;78;78
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testGetUsersOfTag;86;86
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testBatchTagUsers;93;93
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testBatchUnTagUsers;101;101
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testRemarkUser;116;116
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testBlackUser;130;130
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Magic Number Test;testUnBlackUser;138;138
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchGetUser;42-42;42-42
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchGetUser;43-43;43-43
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchGetUser;44-44;44-44
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testCreateTag;51-51;51-51
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testCreateTag;52-52;52-52
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testCreateTag;53-53;53-53
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testGetTags;59-59;59-59
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testGetTags;60-60;60-60
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testGetTags;61-61;61-61
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testEditTag;69-69;69-69
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testEditTag;70-70;70-70
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testEditTag;71-71;71-71
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testDeleteTag;77-77;77-77
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testDeleteTag;78-78;78-78
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testDeleteTag;79-79;79-79
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testGetUsersOfTag;85-85;85-85
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testGetUsersOfTag;86-86;86-86
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchTagUsers;92-92;92-92
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchTagUsers;93-93;93-93
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchTagUsers;94-94;94-94
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchUnTagUsers;100-100;100-100
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchUnTagUsers;101-101;101-101
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testBatchUnTagUsers;102-102;102-102
wechat-core;WechatUserServiceTest;C:\Users\cebec\.jnose_projects\wechat-core\src\test\java\com\jonnyliu\proj\wechat\service\user\WechatUserServiceTest.java;C:\Users\cebec\.jnose_projects\wechat-core\src\main\java\com\jonnyliu\proj\wechat\service\user\WechatUserService.java;JUnit4;141;14;Assertion Roulette;testGetTagsOfUser;108-108;108-108
