projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Unknown Test;testCreatNewFileEvent;54-90;54-90
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Resource Optimism;testCreatNewFileEvent;54-90;54-90
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Verbose Test;testCreatNewFileEvent;54-90;54-90
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Sleepy Test;testCreatNewFileEvent;70-70;70-70
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Eager Test;testCreatNewFileEvent;65, 66;65, 66
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Conditional Test Logic;testCreatNewFileEvent;59-59;59-59
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Exception Catching Throwing;testCreatNewFileEvent;69-75;69-75
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Exception Catching Throwing;testCreatNewFileEvent;79-87;79-87
wps-gitalgorithm-repository;DirectoryWatcherTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\DirectoryWatcherTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\DirectoryWatcher.java;JUnit4;92;3;Mystery Guest;testCreatNewFileEvent;54-90;54-90
wps-gitalgorithm-repository;GitAlgorithmRepositoryTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\GitAlgorithmRepositoryTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\GitAlgorithmRepository.java;JUnit4;115;7;Resource Optimism;initLocalGitRepository;90-113;90-113
wps-gitalgorithm-repository;GitAlgorithmRepositoryTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\GitAlgorithmRepositoryTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\GitAlgorithmRepository.java;JUnit4;115;7;Magic Number Test;initLocalGitRepository;112;112
wps-gitalgorithm-repository;GitAlgorithmRepositoryTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\GitAlgorithmRepositoryTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\GitAlgorithmRepository.java;JUnit4;115;7;Assertion Roulette;initLocalGitRepository;112-112;112-112
wps-gitalgorithm-repository;GitAlgorithmRepositoryTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\GitAlgorithmRepositoryTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\GitAlgorithmRepository.java;JUnit4;115;7;Conditional Test Logic;initLocalGitRepository;108-111;108-111
wps-gitalgorithm-repository;GitAlgorithmRepositoryTest;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\test\java\org\n52\wps\repository\git\GitAlgorithmRepositoryTest.java;C:\Users\cebec\.jnose_projects\wps-gitalgorithm-repository\src\main\java\org\n52\wps\repository\git\GitAlgorithmRepository.java;JUnit4;115;7;Mystery Guest;initLocalGitRepository;90-113;90-113
