projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;formattedWillNotChange;50-53;50-53
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test1;55-62;55-62
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test1KeepBlankLines;64-72;64-72
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test2;74-81;74-81
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test2KeepBlankLines;83-91;83-91
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test3;93-100;93-100
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test4;102-109;102-109
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test4KeepBlankLines;111-119;111-119
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test5;121-129;121-129
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test5KeepBlankLines;135-145;135-145
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Unknown Test;test6;151-161;151-161
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;IgnoredTest;testInOut;190-200;190-200
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Assertion Roulette;testInOut;198-198;198-198
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Exception Catching Throwing;testInvalid;165-168;165-168
xml-format-maven-plugin;FormatUtilTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\FormatUtilTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\FormatUtil.java;JUnit4;208;19;Exception Catching Throwing;testInOut;192-199;192-199
xml-format-maven-plugin;XmlCheckPluginTest;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\test\java\au\com\acegi\xmlformat\XmlCheckPluginTest.java;C:\Users\cebec\.jnose_projects\xml-format-maven-plugin\src\main\java\au\com\acegi\xmlformat\XmlCheckPlugin.java;JUnit4;159;15;Unknown Test;pluginSucceedsWhenAllFormatted;141-158;141-158
