projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_dedicatedAccessWithAllAccountsOwnerName_shouldReturnTrue;71-71;71-71
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName__dedicatedAccessWithOneOwnerName_correctIbanInAccountDetails_shouldReturnTrue;81-81;81-81
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_dedicatedAccessWithOneOwnerName_incorrectIban_shouldReturnFalse;91-91;91-91
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_dedicatedAccessWithOneOwnerName_incorrectCurrency_shouldReturnFalse;101-101;101-101
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_dedicatedAccessWithOneOwnerName_noIbanValue_shouldReturnFalse;111-111;111-111
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_dedicatedAccessWithOneOwnerName_noIbanValueInAccess_mockedIbanExists_shouldReturnTrue;123-123;123-123
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_dedicatedAccessWithOneOwnerName_noIbanValueInAccess_noMockedIban_shouldReturnFalse;133-133;133-133
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_availableAccountAccessWithOwnerName_shouldReturnTrue;143-143;143-143
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_availableAccountAccess_shouldReturnFalse;153-153;153-153
xs2a-connector-examples;OwnerNameServiceTest;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\test\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameServiceTest.java;C:\Users\cebec\.jnose_projects\xs2a-connector-examples\xs2a-connector\src\main\java\de\adorsys\aspsp\xs2a\connector\account\OwnerNameService.java;JUnit5;320;33;Assertion Roulette;shouldContainOwnerName_availableAccountWithBalanceAccessWithOwnerName_shouldReturnTrue;163-163;163-163
