Repo_id;Full_name_modified;Full_name;owner_id;created_at;updated_at;size;stargazers;Subscribers;forks_count;open_issues;watchers;has_downloads;has_issues;has_pages;has_wiki;has_projects;git_url;clone_url;last_commit_sha;license;testsmells_file;CK_File_Class;CK_File_Method
235406671;00-matt_moneropool;00-matt/moneropool;48835712;Tue Jan 21 14:57:22 BRT 2020;Fri Apr 02 21:15:50 BRT 2021;132;6;2;1;11;6;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/00-matt/moneropool.git;https://github.com/00-matt/moneropool.git;441bec009ba044e9fb25364743b6e0eb5df8838e;MIT License;results/00-matt_moneropool_testsmells.csv;results/00-matt_moneropool_class.csv;results/00-matt_moneropool_method.csv
155642431;0428402001_hbase-oss;0428402001/hbase-oss;6780527;Wed Oct 31 22:00:26 BRT 2018;Wed Jan 06 02:42:59 BRT 2021;2005;12;2;5;0;12;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0428402001/hbase-oss.git;https://github.com/0428402001/hbase-oss.git;c900d9050cce924ab3d48c476888f1de990ddefe;Apache License 2;results/0428402001_hbase-oss_testsmells.csv;results/0428402001_hbase-oss_class.csv;results/0428402001_hbase-oss_method.csv
138385639;0rtis_mochimo-farm-manager;0rtis/mochimo-farm-manager;8373383;Sat Jun 23 05:43:21 BRT 2018;Thu Feb 13 15:02:18 BRT 2020;115;7;4;2;0;7;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0rtis/mochimo-farm-manager.git;https://github.com/0rtis/mochimo-farm-manager.git;5ae99dc9af5169a5719a031cc1047ac2d3b0e3c2;MIT License;results/0rtis_mochimo-farm-manager_testsmells.csv;results/0rtis_mochimo-farm-manager_class.csv;results/0rtis_mochimo-farm-manager_method.csv
4078892;0xCopy_RelaxFactory;0xCopy/RelaxFactory;12867180;Thu Apr 19 15:46:24 BRT 2012;Tue Oct 12 20:45:04 BRT 2021;3400;18;4;7;3;18;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0xCopy/RelaxFactory.git;https://github.com/0xCopy/RelaxFactory.git;2b326f63ca9a0e0cb180cda4005b376f5581fb61;Other;results/0xCopy_RelaxFactory_testsmells.csv;results/0xCopy_RelaxFactory_class.csv;results/0xCopy_RelaxFactory_method.csv
100600744;0xERR0R_jmstool;0xERR0R/jmstool;25868513;Thu Aug 17 09:24:56 BRT 2017;Sat Oct 16 18:36:11 BRT 2021;581;5;6;3;0;5;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0xERR0R/jmstool.git;https://github.com/0xERR0R/jmstool.git;592f6f53daefd7d4de9985497a6a9655c536191c;Apache License 2;results/0xERR0R_jmstool_testsmells.csv;results/0xERR0R_jmstool_class.csv;results/0xERR0R_jmstool_method.csv
186550820;0xl2oot_harbor-java-client;0xl2oot/harbor-java-client;22446229;Tue May 14 02:28:38 BRT 2019;Sun Sep 12 04:29:00 BRT 2021;183;7;1;5;3;7;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0xl2oot/harbor-java-client.git;https://github.com/0xl2oot/harbor-java-client.git;91e76badf75f64e1a1ea19121309c4af6d1c1954;Apache License 2;results/0xl2oot_harbor-java-client_testsmells.csv;results/0xl2oot_harbor-java-client_class.csv;results/0xl2oot_harbor-java-client_method.csv
20499820;0xnm_BTC-e-client-for-Android;0xnm/BTC-e-client-for-Android;4046447;Wed Jun 04 17:42:33 BRT 2014;Sat Sep 30 00:11:04 BRT 2017;983;8;3;5;8;8;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0xnm/BTC-e-client-for-Android.git;https://github.com/0xnm/BTC-e-client-for-Android.git;8006ef0b3d346c84783b331e605bd8a77a1c2732;GNU General Public License v3;results/0xnm_BTC-e-client-for-Android_testsmells.csv;results/0xnm_BTC-e-client-for-Android_class.csv;results/0xnm_BTC-e-client-for-Android_method.csv
89630948;0xpr03_VocableTrainer-Android;0xpr03/VocableTrainer-Android;1280209;Thu Apr 27 16:01:24 BRT 2017;Wed Oct 20 17:52:56 BRT 2021;4150;22;4;10;16;22;TRUE;TRUE;FALSE;TRUE;FALSE;git://github.com/0xpr03/VocableTrainer-Android.git;https://github.com/0xpr03/VocableTrainer-Android.git;e680f318191c9d883f1a032e6ef2ef63b85ef5de;Other;results/0xpr03_VocableTrainer-Android_testsmells.csv;results/0xpr03_VocableTrainer-Android_class.csv;results/0xpr03_VocableTrainer-Android_method.csv
129274227;0xZhangKe_ShiZhong;0xZhangKe/ShiZhong;14258043;Thu Apr 12 12:39:44 BRT 2018;Wed Apr 21 03:35:44 BRT 2021;8040;87;1;17;2;87;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/0xZhangKe/ShiZhong.git;https://github.com/0xZhangKe/ShiZhong.git;4474335bc38f2ba4d2343f0d52a93d985e764c26;Other;results/0xZhangKe_ShiZhong_testsmells.csv;results/0xZhangKe_ShiZhong_class.csv;results/0xZhangKe_ShiZhong_method.csv
5239773;1000Memories_photon-core;1000Memories/photon-core;441370;Mon Jul 30 21:42:28 BRT 2012;Fri May 11 17:47:51 BRT 2018;7411;63;9;11;4;63;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/1000Memories/photon-core.git;https://github.com/1000Memories/photon-core.git;d9df263ad94cac08d5b042a36ff7f481fc54df46;Apache License 2;results/1000Memories_photon-core_testsmells.csv;results/1000Memories_photon-core_class.csv;results/1000Memories_photon-core_method.csv
99613808;100rabhkr_DownZLibrary;100rabhkr/DownZLibrary;11437004;Mon Aug 07 16:45:48 BRT 2017;Thu Oct 18 10:25:47 BRT 2018;353;26;3;12;2;26;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/100rabhkr/DownZLibrary.git;https://github.com/100rabhkr/DownZLibrary.git;80b238b911cb1e16fc735bf53cfa62aad45a2a58;MIT License;results/100rabhkr_DownZLibrary_testsmells.csv;results/100rabhkr_DownZLibrary_class.csv;results/100rabhkr_DownZLibrary_method.csv
222035707;1024-lab_smart-admin;1024-lab/smart-admin;52805581;Fri Nov 15 23:30:31 BRT 2019;Tue Oct 26 13:05:57 BRT 2021;2295;1275;42;473;12;1275;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/1024-lab/smart-admin.git;https://github.com/1024-lab/smart-admin.git;5593e3d2f8c5d707f71b5ad800ce02ef118e2782;MIT License;results/1024-lab_smart-admin_testsmells.csv;results/1024-lab_smart-admin_class.csv;results/1024-lab_smart-admin_method.csv
80829511;10clouds_InifiniteRecyclerView;10clouds/InifiniteRecyclerView;481864;Fri Feb 03 11:03:02 BRST 2017;Sun Oct 10 15:36:47 BRT 2021;20101;79;6;12;1;79;TRUE;TRUE;FALSE;TRUE;TRUE;git://github.com/10clouds/InifiniteRecyclerView.git;https://github.com/10clouds/InifiniteRecyclerView.git;f997e305282c318bf7fbb7a49815b0079805182f;Apache License 2;results/10clouds_InifiniteRecyclerView_testsmells.csv;results/10clouds_InifiniteRecyclerView_class.csv;results/10clouds_InifiniteRecyclerView_method.csv
